ARO_accession	ARO_gene_family	ARO_length	ARO_name	ARO_taxonomy_id	ARO_taxonomy_name
3002146	DHA beta-lactamase	1140	DHA-15	573	Klebsiella pneumoniae
3003109	ABC-F ATP-binding cassette ribosomal protection protein	1476	msrE	470	Acinetobacter baumannii
3002415	OXY beta-lactamase	876	OXY-6-3	571	Klebsiella oxytoca
3002804	fosfomycin thiol transferase	426	FosA2	550	Enterobacter cloacae
3002649	APH(3')	807	APH(3')-Va	1906	Streptomyces fradiae
3002528	AAC(3)	465	AAC(3)-Ia	287	Pseudomonas aeruginosa
3002771	quinolone resistance protein (qnr)	681	QnrB58	546	Citrobacter freundii
3003198	16S rRNA methyltransferase (G1405)	759	rmtH	573	Klebsiella pneumoniae
3002413	OXY beta-lactamase	876	OXY-6-1	571	Klebsiella oxytoca
3000504	resistance-nodulation-cell division (RND) antibiotic efflux pump	465	golS	99287	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2
3003550	major facilitator superfamily (MFS) antibiotic efflux pump	1467	mdtP	316407	Escherichia coli str. K-12 substr. W3110
3002125	CMY beta-lactamase	1146	CMY-114	546	Citrobacter freundii
3001808	OXA beta-lactamase	816	OXA-60	329	Ralstonia pickettii
3001650	OXA beta-lactamase	825	OXA-90	470	Acinetobacter baumannii
3002380	SME beta-lactamase	885	SME-2	615	Serratia marcescens
3002538	AAC(3)	840	AAC(3)-IIIc	287	Pseudomonas aeruginosa
3002397	OXY beta-lactamase	873	OXY-2-2	571	Klebsiella oxytoca
3002188	MOX beta-lactamase	1152	MOX-5	648	Aeromonas caviae
3000904	TEM beta-lactamase	861	TEM-34	729	Haemophilus parainfluenzae
3001617	OXA beta-lactamase	825	OXA-69	509173	Acinetobacter baumannii AYE
3000879	TEM beta-lactamase	785	TEM-7	562	Escherichia coli
3001082	SHV beta-lactamase	861	SHV-24	562	Escherichia coli
3002762	quinolone resistance protein (qnr)	645	QnrB47	546	Citrobacter freundii
3001502	OXA beta-lactamase	801	OXA-256	550	Enterobacter cloacae
3002795	quinolone resistance protein (qnr)	657	QnrS6	644	Aeromonas hydrophila
3001518	OXA beta-lactamase	822	OXA-330	471	Acinetobacter calcoaceticus
3002053	CMY beta-lactamase	1146	CMY-42	562	Escherichia coli
3002546	AAC(6')	555	AAC(6')-Ib	573	Klebsiella pneumoniae
3002083	CMY beta-lactamase	1146	CMY-70	57706	Citrobacter braakii
3002350	GES beta-lactamase	864	GES-21	77133	uncultured bacterium
3001099	SHV beta-lactamase	861	SHV-41	573	Klebsiella pneumoniae
3001577	OXA beta-lactamase	825	OXA-391	470	Acinetobacter baumannii
3000996	TEM beta-lactamase	861	TEM-132	573	Klebsiella pneumoniae
3002620	ANT(3'')	780	aadA23	58095	Salmonella enterica subsp. enterica serovar Agona
3002360	NDM beta-lactamase	813	NDM-10	72407	Klebsiella pneumoniae subsp. pneumoniae
3002778	quinolone resistance protein (qnr)	645	QnrB66	546	Citrobacter freundii
3001100	SHV beta-lactamase	861	SHV-42	573	Klebsiella pneumoniae
3001429	OXA beta-lactamase	801	OXA-35	287	Pseudomonas aeruginosa
3001076	SHV beta-lactamase	861	SHV-18	573	Klebsiella pneumoniae
3003026	fusidic acid inactivation enzyme	1530	fusH	1916	Streptomyces lividans
3001133	SHV beta-lactamase	861	SHV-79	573	Klebsiella pneumoniae
3000916	TEM beta-lactamase	861	TEM-47	573	Klebsiella pneumoniae
3000887	TEM beta-lactamase	861	TEM-16	573	Klebsiella pneumoniae
3002307	VIM beta-lactamase	801	VIM-37	287	Pseudomonas aeruginosa
3001849	ACT beta-lactamase	1146	ACT-29	61645	Enterobacter asburiae
3002157	FOX beta-lactamase	1149	FOX-3	571	Klebsiella oxytoca
3002366	PER beta-lactamase	927	PER-4	585	Proteus vulgaris
3000845	GIM beta-lactamase	753	GIM-1	287	Pseudomonas aeruginosa
3002233	IMP beta-lactamase	741	IMP-42	487316	Acinetobacter soli
3000965	TEM beta-lactamase	861	TEM-102	167474	Plasmid pWW100
3000979	TEM beta-lactamase	861	TEM-116	1280	Staphylococcus aureus
3002066	CMY beta-lactamase	1146	CMY-55	562	Escherichia coli
3002955	vanY	911	vanYA	1352	Enterococcus faecium
3000508	resistance-nodulation-cell division (RND) antibiotic efflux pump	825	gadX	316407	Escherichia coli str. K-12 substr. W3110
3001904	CTX-M beta-lactamase	876	CTX-M-42	562	Escherichia coli
3001154	SHV beta-lactamase	861	SHV-105	573	Klebsiella pneumoniae
3002092	CMY beta-lactamase	1146	CMY-79	546	Citrobacter freundii
3002067	CMY beta-lactamase	1146	CMY-56	573	Klebsiella pneumoniae
3003149	OXA beta-lactamase	825	OXA-426	470	Acinetobacter baumannii
3002966	glycopeptide resistance gene cluster	573	vanXYC	1353	Enterococcus gallinarum
3002059	CMY beta-lactamase	1146	CMY-48	546	Citrobacter freundii
3002753	quinolone resistance protein (qnr)	645	QnrB38	546	Citrobacter freundii
3000972	TEM beta-lactamase	861	TEM-109	562	Escherichia coli
3003203	TLA beta-lactamase	915	TLA-2	77133	uncultured bacterium
3001071	SHV beta-lactamase	837	SHV-12	562	Escherichia coli
3001773	OXA beta-lactamase	774	OXA-61	197	Campylobacter jejuni
3002243	CARB beta-lactamase	867	CARB-4	287	Pseudomonas aeruginosa
3002681	chloramphenicol acetyltransferase (CAT)	630	catB9	666	Vibrio cholerae
3000912	TEM beta-lactamase	861	TEM-43	573	Klebsiella pneumoniae
3002507	PDC beta-lactamase	1194	PDC-8	287	Pseudomonas aeruginosa
3000326	Erm 23S ribosomal RNA methyltransferase	1146	ErmE	405948	Saccharopolyspora erythraea NRRL 2338
3002565	AAC(6')	441	AAC(6')-Iu	70348	Acinetobacter dispersus
3003209	fosfomycin thiol transferase	420	FosA5	562	Escherichia coli
3002375	VEB beta-lactamase	900	VEB-5	562	Escherichia coli
3003012	trimethoprim resistant dihydrofolate reductase dfr	498	dfrA13	562	Escherichia coli
3000954	TEM beta-lactamase	861	TEM-87	584	Proteus mirabilis
3002733	quinolone resistance protein (qnr)	681	QnrB18	546	Citrobacter freundii
3002488	subclass B3 LRA beta-lactamase	906	LRA-9	506525	uncultured bacterium BLR9
3002282	VIM beta-lactamase	801	VIM-12	573	Klebsiella pneumoniae
3002604	ANT(3'')	789	aadA4	470	Acinetobacter baumannii
3000796	resistance-nodulation-cell division (RND) antibiotic efflux pump	3114	mdtF	511145	Escherichia coli str. K-12 substr. MG1655
3002304	VIM beta-lactamase	801	VIM-34	573	Klebsiella pneumoniae
3001119	SHV beta-lactamase	861	SHV-64	573	Klebsiella pneumoniae
3002263	IND beta-lactamase	720	IND-7	253	Chryseobacterium indologenes
3001364	SHV beta-lactamase	861	SHV-182	573	Klebsiella pneumoniae
3001045	TEM beta-lactamase	861	TEM-183	573	Klebsiella pneumoniae
3002815	Cfr 23S ribosomal RNA methyltransferase	1032	clbB	358681	Brevibacillus brevis NBRC 100599
3002828	ABC-F ATP-binding cassette ribosomal protection protein	1653	srmB	1889	Streptomyces ambofaciens
3000198	fosfomycin thiol transferase	402	FosX	1639	Listeria monocytogenes
3001972	CTX-M beta-lactamase	876	CTX-M-112	1074435	Shigella sp. SH257
3001912	CTX-M beta-lactamase	876	CTX-M-50	573	Klebsiella pneumoniae
3001057	TEM beta-lactamase	861	TEM-198	573	Klebsiella pneumoniae
3002853	rifampin ADP-ribosyltransferase (Arr)	453	arr-8	571	Klebsiella oxytoca
3002883	rifampin glycosyltransferase	1236	rgt1438	1214076	Streptomyces sp. WAC1438
3002383	SME beta-lactamase	885	SME-5	615	Serratia marcescens
3002020	CMY beta-lactamase	1149	CMY-9	562	Escherichia coli
3002634	APH(2'')	906	APH(2'')-Ie	37734	Enterococcus casseliflavus
3002690	major facilitator superfamily (MFS) antibiotic efflux pump	1179	Streptomyces lividans cmlR	1200984	Streptomyces lividans 1326
3002724	quinolone resistance protein (qnr)	681	QnrB10	546	Citrobacter freundii
3002595	AAC(6')	543	AAC(6')-IIb	294	Pseudomonas fluorescens
3002921	glycopeptide resistance gene cluster	663	vanRB	1351	Enterococcus faecalis
3003103	CphA beta-lactamase	765	cphA7	650	Aeromonas jandaei
3002203	IMP beta-lactamase	741	IMP-12	303	Pseudomonas putida
3001692	OXA beta-lactamase	831	OXA-229	106648	Acinetobacter bereziniae
3001646	OXA beta-lactamase	825	OXA-98	470	Acinetobacter baumannii
3001422	OXA beta-lactamase	822	OXA-27	470	Acinetobacter baumannii
3001144	SHV beta-lactamase	861	SHV-92	573	Klebsiella pneumoniae
3002612	ANT(3'')	792	aadA12	562	Escherichia coli
3002676	chloramphenicol acetyltransferase (CAT)	633	catB3	550	Enterobacter cloacae
3002432	OKP beta-lactamase	846	OKP-A-15	573	Klebsiella pneumoniae
3000830	resistance-nodulation-cell division (RND) antibiotic efflux pump	1374	cpxA	386585	Escherichia coli O157:H7 str. Sakai
3000777	resistance-nodulation-cell division (RND) antibiotic efflux pump	3180	adeF	509173	Acinetobacter baumannii AYE
3000815	ATP-binding cassette (ABC) antibiotic efflux pump	444	mgrA	158879	Staphylococcus aureus subsp. aureus N315
3001055	TEM beta-lactamase	861	TEM-195	470	Acinetobacter baumannii
3002574	AAC(6')	552	AAC(6')-Iaf	287	Pseudomonas aeruginosa
3003017	trimethoprim resistant dihydrofolate reductase dfr	498	dfrA21	134047	Salmonella enterica subsp. enterica serovar Bredeney
3001300	non-erm 23S ribosomal RNA methyltransferase (G748)	888	myrA	28040	Micromonospora griseorubida
3002830	ABC-F ATP-binding cassette ribosomal protection protein	1569	vgaALC	1283	Staphylococcus haemolyticus
3001677	OXA beta-lactamase	831	OXA-236	470	Acinetobacter baumannii
3001112	SHV beta-lactamase	861	SHV-56	573	Klebsiella pneumoniae
3002318	KPC beta-lactamase	882	KPC-8	573	Klebsiella pneumoniae
3001562	OXA beta-lactamase	825	OXA-376	470	Acinetobacter baumannii
3002912	glycopeptide resistance gene cluster	1032	vanN	1352	Enterococcus faecium
3002299	VIM beta-lactamase	801	VIM-29	562	Escherichia coli
3000572	major facilitator superfamily (MFS) antibiotic efflux pump	1287	tet(42)	526920	Micrococcus sp. SMCC G887
3003196	major facilitator superfamily (MFS) antibiotic efflux pump	1377	tet(45)	394098	Bhargavaea cecembensis
3000173	major facilitator superfamily (MFS) antibiotic efflux pump	1218	tet(E)	562	Escherichia coli
3003060	non-erm 23S ribosomal RNA methyltransferase (A1067)	813	tsnR	39478	Streptomyces laurentii
3002050	CMY beta-lactamase	1146	CMY-39	546	Citrobacter freundii
3002287	VIM beta-lactamase	801	VIM-17	287	Pseudomonas aeruginosa
3002224	IMP beta-lactamase	741	IMP-33	287	Pseudomonas aeruginosa
3002210	IMP beta-lactamase	741	IMP-19	648	Aeromonas caviae
3000944	TEM beta-lactamase	861	TEM-78	562	Escherichia coli
3002849	rifampin ADP-ribosyltransferase (Arr)	453	arr-4	287	Pseudomonas aeruginosa
3003002	CfxA beta-lactamase	966	CfxA2	28131	Prevotella intermedia
3001886	CTX-M beta-lactamase	876	CTX-M-24	573	Klebsiella pneumoniae
3002036	CMY beta-lactamase	1146	CMY-25	573	Klebsiella pneumoniae
3003659	IMP beta-lactamase	741	IMP-51	287	Pseudomonas aeruginosa
3002942	vanH	968	vanHA	1352	Enterococcus faecium
3002711	quinolone resistance protein (qnr)	657	QnrA5	38313	Shewanella algae
3002150	DHA beta-lactamase	1140	DHA-19	582	Morganella morganii
3002343	GES beta-lactamase	864	GES-14	470	Acinetobacter baumannii
3000839	major facilitator superfamily (MFS) antibiotic efflux pump	1356	arlS	93061	Staphylococcus aureus subsp. aureus NCTC 8325
3000549	resistance-nodulation-cell division (RND) antibiotic efflux pump	1086	adeS	470	Acinetobacter baumannii
3002514	OCH beta-lactamase	1173	OCH-1	529	Ochrobactrum anthropi
3001778	OXA beta-lactamase	798	OXA-232	562	Escherichia coli
3001407	OXA beta-lactamase	795	OXA-12	646	Aeromonas sobria
3001535	OXA beta-lactamase	822	OXA-348	471	Acinetobacter calcoaceticus
3001141	SHV beta-lactamase	861	SHV-89	573	Klebsiella pneumoniae
3001881	CTX-M beta-lactamase	876	CTX-M-19	573	Klebsiella pneumoniae
3001480	OXA beta-lactamase	822	OXA-195	106654	Acinetobacter nosocomialis
3001814	OXA beta-lactamase	798	OXA-199	332186	Shewanella xiamenensis
3001900	CTX-M beta-lactamase	876	CTX-M-38	573	Klebsiella pneumoniae
3000983	TEM beta-lactamase	861	TEM-121	562	Escherichia coli
3001116	SHV beta-lactamase	861	SHV-61	573	Klebsiella pneumoniae
3001919	CTX-M beta-lactamase	876	CTX-M-58	562	Escherichia coli
3001918	CTX-M beta-lactamase	876	CTX-M-56	562	Escherichia coli
3001002	TEM beta-lactamase	861	TEM-138	28901	Salmonella enterica
3002493	SRT beta-lactamase	1137	SRT-1	615	Serratia marcescens
3002477	LEN beta-lactamase	460	LEN-14	550	Enterobacter cloacae
3002516	OCH beta-lactamase	1173	OCH-3	529	Ochrobactrum anthropi
3001150	SHV beta-lactamase	861	SHV-101	573	Klebsiella pneumoniae
3002403	OXY beta-lactamase	873	OXY-2-8	571	Klebsiella oxytoca
3003179	VIM beta-lactamase	801	VIM-43	287	Pseudomonas aeruginosa
3002655	APH(4)	1026	APH(4)-Ia	562	Escherichia coli
3000423	Fom phosphotransferase family	801	FomA	43759	Streptomyces wedmorensis
3002341	GES beta-lactamase	864	GES-12	470	Acinetobacter baumannii
3002117	CMY beta-lactamase	1146	CMY-105	546	Citrobacter freundii
3002600	AAC(3)	-	AAC(3)-Ib/AAC(6')-Ib''	-	-
3001093	SHV beta-lactamase	861	SHV-35	573	Klebsiella pneumoniae
3001383	TEM beta-lactamase	861	TEM-206	562	Escherichia coli
3001416	OXA beta-lactamase	828	OXA-21	470	Acinetobacter baumannii
3001168	SHV beta-lactamase	861	SHV-121	573	Klebsiella pneumoniae
3003250	undecaprenyl pyrophosphate related proteins	612	bcrC	1402	Bacillus licheniformis
3002459	LEN beta-lactamase	861	LEN-9	244366	Klebsiella variicola
3002949	vanX	608	vanXA	1352	Enterococcus faecium
3002665	16S rRNA methyltransferase (A1408)	660	npmA	562	Escherichia coli
3002429	OKP beta-lactamase	861	OKP-A-12	573	Klebsiella pneumoniae
3000959	TEM beta-lactamase	861	TEM-92	584	Proteus mirabilis
3002112	CMY beta-lactamase	1146	CMY-100	546	Citrobacter freundii
3000840	JOHN beta-lactamase	747	JOHN-1	376686	Flavobacterium johnsoniae UW101
3002332	GES beta-lactamase	864	GES-3	573	Klebsiella pneumoniae
3002168	MIR beta-lactamase	1146	MIR-2	550	Enterobacter cloacae
3001948	CTX-M beta-lactamase	876	CTX-M-88	543	Enterobacteriaceae
3001644	OXA beta-lactamase	825	OXA-113	470	Acinetobacter baumannii
3002436	OKP beta-lactamase	861	OKP-B-3	573	Klebsiella pneumoniae
3000826	resistance-nodulation-cell division (RND) antibiotic efflux pump	723	sdiA	99287	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2
3002973	glycopeptide resistance gene cluster	990	vanTmL	1351	Enterococcus faecalis
3003160	OXA beta-lactamase	822	OXA-422	470	Acinetobacter baumannii
3001472	OXA beta-lactamase	825	OXA-178	470	Acinetobacter baumannii
3003094	CphA beta-lactamase	765	imiH	644	Aeromonas hydrophila
3002468	LEN beta-lactamase	861	LEN-21	573	Klebsiella pneumoniae
3002797	quinolone resistance protein (qnr)	657	QnrS8	573	Klebsiella pneumoniae
3001784	OXA beta-lactamase	798	OXA-181	573	Klebsiella pneumoniae
3001840	ACT beta-lactamase	1146	ACT-19	550	Enterobacter cloacae
3001181	SHV beta-lactamase	861	SHV-137	573	Klebsiella pneumoniae
3001623	OXA beta-lactamase	825	OXA-83	470	Acinetobacter baumannii
3002925	glycopeptide resistance gene cluster	696	vanRF	1212764	Paenibacillus popilliae ATCC 14706
3001850	ACT beta-lactamase	1146	ACT-30	550	Enterobacter cloacae
3001191	SHV beta-lactamase	858	SHV-152	573	Klebsiella pneumoniae
3001404	OXA beta-lactamase	825	OXA-9	573	Klebsiella pneumoniae
3001347	SHV beta-lactamase	861	SHV-164	573	Klebsiella pneumoniae
3002695	major facilitator superfamily (MFS) antibiotic efflux pump	1260	cmlA5	77133	uncultured bacterium
3001985	CTX-M beta-lactamase	876	CTX-M-126	562	Escherichia coli
3001024	TEM beta-lactamase	861	TEM-158	562	Escherichia coli
3002442	OKP beta-lactamase	861	OKP-B-9	573	Klebsiella pneumoniae
3004605	Erm 23S ribosomal RNA methyltransferase	849	ermZ	1889	Streptomyces ambofaciens
3002654	APH(3')	753	APH(3')-VIIa	197	Campylobacter jejuni
3002662	APH(9)	996	APH(9)-Ia	866628	Legionella pneumophila 130b
3003069	glycopeptide resistance gene cluster	765	vanXYG	1351	Enterococcus faecalis
3001455	OXA beta-lactamase	825	OXA-150	470	Acinetobacter baumannii
3002032	CMY beta-lactamase	1146	CMY-21	562	Escherichia coli
3003172	ACT beta-lactamase	1146	ACT-37	550	Enterobacter cloacae
3001486	OXA beta-lactamase	825	OXA-208	470	Acinetobacter baumannii
3000592	Erm 23S ribosomal RNA methyltransferase	876	ErmN	1906	Streptomyces fradiae
3002078	CMY beta-lactamase	1146	CMY-65	1037358	Citrobacter sp. 913
3002278	VIM beta-lactamase	801	VIM-8	287	Pseudomonas aeruginosa
3002856	trimethoprim resistant dihydrofolate reductase dfr	558	dfrA24	562	Escherichia coli
3003206	ABC-F ATP-binding cassette ribosomal protection protein	804	lsaE	1351	Enterococcus faecalis
3001175	SHV beta-lactamase	861	SHV-128	550	Enterobacter cloacae
3002727	quinolone resistance protein (qnr)	681	QnrB13	546	Citrobacter freundii
3001770	OXA beta-lactamase	810	OXA-43	28450	Burkholderia pseudomallei
3003097	CfxA beta-lactamase	996	CfxA6	155900	uncultured organism
3002019	CMY beta-lactamase	1149	CMY-8	573	Klebsiella pneumoniae
3002467	LEN beta-lactamase	861	LEN-20	573	Klebsiella pneumoniae
3002015	CMY beta-lactamase	1143	CMY-4	584	Proteus mirabilis
3002751	quinolone resistance protein (qnr)	645	QnrB36	546	Citrobacter freundii
3002376	VEB beta-lactamase	900	VEB-7	470	Acinetobacter baumannii
3001658	OXA beta-lactamase	825	OXA-174	470	Acinetobacter baumannii
3002435	OKP beta-lactamase	861	OKP-B-2	573	Klebsiella pneumoniae
3000958	TEM beta-lactamase	861	TEM-91	562	Escherichia coli
3003095	CphA beta-lactamase	768	imiS	654	Aeromonas veronii
3001967	CTX-M beta-lactamase	864	CTX-M-107	1074433	Shigella sp. SH219
3001874	CTX-M beta-lactamase	846	CTX-M-11	573	Klebsiella pneumoniae
3002071	CMY beta-lactamase	1146	CMY-110	562	Escherichia coli
3001984	CTX-M beta-lactamase	876	CTX-M-125	550	Enterobacter cloacae
3002098	CMY beta-lactamase	1146	CMY-85	546	Citrobacter freundii
3003055	resistance-nodulation-cell division (RND) antibiotic efflux pump	1185	smeD	40324	Stenotrophomonas maltophilia
3000883	TEM beta-lactamase	861	TEM-11	584	Proteus mirabilis
3001201	SHV beta-lactamase	858	SHV-162	573	Klebsiella pneumoniae
3000934	TEM beta-lactamase	861	TEM-67	584	Proteus mirabilis
3002073	CMY beta-lactamase	1146	CMY-60	562	Escherichia coli
3001780	OXA beta-lactamase	765	OXA-85	851	Fusobacterium nucleatum
3002843	streptogramin vat acetyltransferase	615	vatD	1352	Enterococcus faecium
3002641	APH(3')	816	APH(3')-Ia	615	Serratia marcescens
3000888	TEM beta-lactamase	861	TEM-17	1018	Capnocytophaga ochracea
3001350	SHV beta-lactamase	861	SHV-180	573	Klebsiella pneumoniae
3003005	CfxA beta-lactamase	966	CfxA4	817	Bacteroides fragilis
3001804	OXA beta-lactamase	798	OXA-145	287	Pseudomonas aeruginosa
3002293	VIM beta-lactamase	801	VIM-23	550	Enterobacter cloacae
3002111	CMY beta-lactamase	1131	CMY-98	546	Citrobacter freundii
3002959	vanY	840	vanYG1	1351	Enterococcus faecalis
3003553	CepS beta-lactamase	1149	CepS	646	Aeromonas sobria
3002583	AAC(6')	402	AAC(6')-29a	287	Pseudomonas aeruginosa
3002108	CMY beta-lactamase	1146	CMY-95	562	Escherichia coli
3001384	TEM beta-lactamase	861	TEM-207	562	Escherichia coli
3000593	Erm 23S ribosomal RNA methyltransferase	774	ErmQ	1502	Clostridium perfringens
3002267	IND beta-lactamase	732	IND-11	253	Chryseobacterium indologenes
3001302	non-erm 23S ribosomal RNA methyltransferase (G748)	843	chrB	1896	Streptomyces bikiniensis
3001090	SHV beta-lactamase	861	SHV-32	573	Klebsiella pneumoniae
3001960	CTX-M beta-lactamase	876	CTX-M-101	562	Escherichia coli
3002129	CMY beta-lactamase	1146	CMY-118	546	Citrobacter freundii
3002046	CMY beta-lactamase	1146	CMY-35	546	Citrobacter freundii
3001132	SHV beta-lactamase	861	SHV-78	573	Klebsiella pneumoniae
3002257	IND beta-lactamase	732	IND-2	253	Chryseobacterium indologenes
3001467	OXA beta-lactamase	822	OXA-167	470	Acinetobacter baumannii
3001654	OXA beta-lactamase	828	OXA-143	470	Acinetobacter baumannii
3001041	TEM beta-lactamase	861	TEM-176	562	Escherichia coli
3002133	DHA beta-lactamase	1140	DHA-2	573	Klebsiella pneumoniae
3001898	CTX-M beta-lactamase	876	CTX-M-36	562	Escherichia coli
3001015	TEM beta-lactamase	861	TEM-148	562	Escherichia coli
3001545	OXA beta-lactamase	822	OXA-358	471	Acinetobacter calcoaceticus
3001553	OXA beta-lactamase	822	OXA-366	470	Acinetobacter baumannii
3001897	CTX-M beta-lactamase	876	CTX-M-35	571	Klebsiella oxytoca
3000606	FEZ beta-lactamase	849	FEZ-1	464	Fluoribacter gormanii
3002609	ANT(3'')	900	aadA9	373068	Corynebacterium sp. L2-79-05
3002767	quinolone resistance protein (qnr)	645	QnrB54	546	Citrobacter freundii
3002470	LEN beta-lactamase	861	LEN-23	573	Klebsiella pneumoniae
3000805	resistance-nodulation-cell division (RND) antibiotic efflux pump	1419	OprN	208964	Pseudomonas aeruginosa PAO1
3002701	major facilitator superfamily (MFS) antibiotic efflux pump	1176	Rhodococcus fascians cmr	1828	Rhodococcus fascians
3001493	OXA beta-lactamase	822	OXA-225	470	Acinetobacter baumannii
3002346	GES beta-lactamase	864	GES-17	562	Escherichia coli
3003167	CTX-M beta-lactamase	876	CTX-M-159	573	Klebsiella pneumoniae
3002217	IMP beta-lactamase	741	IMP-26	287	Pseudomonas aeruginosa
3001032	TEM beta-lactamase	861	TEM-166	562	Escherichia coli
3003565	R39 beta-lactamase	915	R39	72570	Actinomadura sp. R39
3003186	CARB beta-lactamase	939	CARB-23	1429044	Vibrio parahaemolyticus UCM-V493
3003034	resistance-nodulation-cell division (RND) antibiotic efflux pump	1170	mexX	208964	Pseudomonas aeruginosa PAO1
3003811	resistance-nodulation-cell division (RND) antibiotic efflux pump	1398	adeC	470	Acinetobacter baumannii
3002390	OXY beta-lactamase	876	OXY-1-2	571	Klebsiella oxytoca
3004866	NDM beta-lactamase	813	NDM-23	573	Klebsiella pneumoniae
3002062	CMY beta-lactamase	1146	CMY-51	546	Citrobacter freundii
3002192	IMP beta-lactamase	741	IMP-1	287	Pseudomonas aeruginosa
3003067	resistance-nodulation-cell division (RND) antibiotic efflux pump	1404	smeS	40324	Stenotrophomonas maltophilia
3001425	OXA beta-lactamase	831	OXA-31	287	Pseudomonas aeruginosa
3003155	SHV beta-lactamase	873	SHV-188	573	Klebsiella pneumoniae
3002987	ATP-binding cassette (ABC) antibiotic efflux pump	921	bcrA	1402	Bacillus licheniformis
3002738	quinolone resistance protein (qnr)	681	QnrB23	546	Citrobacter freundii
3002409	OXY beta-lactamase	867	OXY-3-1	571	Klebsiella oxytoca
3002910	glycopeptide resistance gene cluster	1050	vanL	1351	Enterococcus faecalis
3003064	small multidrug resistance (SMR) antibiotic efflux pump	318	ykkD	224308	Bacillus subtilis subsp. subtilis str. 168
3001065	SHV beta-lactamase	780	SHV-6	573	Klebsiella pneumoniae
3002502	PDC beta-lactamase	1194	PDC-5	287	Pseudomonas aeruginosa
3002715	quinolone resistance protein (qnr)	645	QnrB2	584	Proteus mirabilis
3002739	quinolone resistance protein (qnr)	681	QnrB24	546	Citrobacter freundii
3000873	TEM beta-lactamase	861	TEM-1	220341	Salmonella enterica subsp. enterica serovar Typhi str. CT18
3001305	Erm 23S ribosomal RNA methyltransferase	837	ErmU	1915	Streptomyces lincolnensis
3002308	VIM beta-lactamase	801	VIM-38	287	Pseudomonas aeruginosa
3002757	quinolone resistance protein (qnr)	645	QnrB42	573	Klebsiella pneumoniae
3000975	TEM beta-lactamase	861	TEM-112	562	Escherichia coli
3002569	AAC(6')	438	AAC(6')-Iy	149539	Salmonella enterica subsp. enterica serovar Enteritidis
3001681	OXA beta-lactamase	831	OXA-278	108981	Acinetobacter schindleri
3002008	CTX-M beta-lactamase	915	CTX-M-151	28901	Salmonella enterica
3001021	TEM beta-lactamase	861	TEM-155	584	Proteus mirabilis
3002096	CMY beta-lactamase	1146	CMY-83	57706	Citrobacter braakii
3000984	TEM beta-lactamase	861	TEM-122	562	Escherichia coli
3001887	CTX-M beta-lactamase	876	CTX-M-25	562	Escherichia coli
3002252	CARB beta-lactamase	897	CARB-14	470	Acinetobacter baumannii
3001074	SHV beta-lactamase	861	SHV-15	562	Escherichia coli
3001067	SHV beta-lactamase	861	SHV-8	562	Escherichia coli
3003046	major facilitator superfamily (MFS) antibiotic efflux pump	1545	qacA	1280	Staphylococcus aureus
3002169	MIR beta-lactamase	1146	MIR-3	550	Enterobacter cloacae
3001079	SHV beta-lactamase	780	SHV-21	573	Klebsiella pneumoniae
